district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
雙溪區,土地,平林段後番子坑小段431地號,6876.25,,山坡地保育區,林業用地,1110103,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2200398,320,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJJHHGFFF77DA,0,0,0,無
雙溪區,土地,柑腳段柑腳小段98-1地號,34,,山坡地保育區,丙種建築用地,1110107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,102000,3000,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKJHHGFFF97EA,0,0,0,無
雙溪區,土地,武丹坑段武丹坑小段520地號,3262.5,,山坡地保育區,林業用地,1110108,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1350000,414,,0,0,總價135萬元，其中120萬元為債權債務相抵，另15萬元支付現金。,RPQNMLRKJHHGFFF18EA,0,0,0,無
雙溪區,土地,烏山段三分二小段27-1地號,1036,都市：其他:保安保護區,,,1110110,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,130000,125,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKLJHHGFFF57DA,0,0,0,無
雙溪區,土地,三叉港段土地公嶺小段32-4地號,2321,,山坡地保育區,農牧用地,1110126,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,1508,,0,0,,RPRNMLRJKHHGFFF18DA,0,0,0,無
雙溪區,土地,新基段843-2地號,10.98,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,104000,9472,,0,0,佔有人購買親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMLKHHGFFF97EA,0,0,0,無
雙溪區,土地,新基段843-3地號,8.47,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,90629,10700,,0,0,佔有人購買,RPTNMLMLKHHGFFF18EA,0,0,0,無
雙溪區,土地,新基段843-4地號,65.16,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,697000,10697,,0,0,佔有人購買,RPUNMLMLKHHGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段49-1地號,201.4,都市：其他:保安保護區,,,1110118,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,81000,402,,0,0,地清或未辦繼承標售；,RPPNMLOJLHHGFFF77DA,0,0,0,無
雙溪區,土地,丁子蘭坑段704地號,1001.48,,山坡地保育區,林業用地,1101203,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,150,,0,0,,RPQNMLTJKIGGFFF28DA,0,0,0,無
雙溪區,土地,泰和段89地號,58.99,住,,,1101217,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,59332,,0,0,未辦保存登記建物:新北市雙溪區梅竹蹊64號1至3樓未登記建物；,RPPNMLMLKIGGFFF67DA,0,0,0,無
雙溪區,土地,武丹坑段粗坑小段27地號,269.25,,一般農業區,甲種建築用地,1101209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2170000,8059,,0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKKIGGFFF47DA,0,0,0,無
雙溪區,土地,大平段破子寮小段76-1地號,2055.67,都市：其他:保安保護區,,,1101212,土地7建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,973,,0,0,包含公共設施保留地用地；,RPPNMLNLKIGGFFF87EA,0,0,0,無
雙溪區,土地,平林段新寮子小段331地號,7059.25,,山坡地保育區,林業用地,1101204,土地5建物0車位0,,,其他,,,,0,0,0,0,有,無,1400000,198,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKIGGFFF97EA,0,0,0,無
雙溪區,土地,泰和段333地號,26.12,都市：其他:道路用地,,,1101210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,61133,2340,,0,0,協議價購；,RPTNMLLLKIGGFFF97DA,0,0,0,無
雙溪區,土地,泰和段333地號,26.12,都市：其他:道路用地,,,1101210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,61133,2340,,0,0,協議價購；,RPUNMLLLKIGGFFF08DA,0,0,0,無
雙溪區,土地,柑腳段外柑腳小段49-2地號,4347,,山坡地保育區,農牧用地,1101207,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,7510000,1728,,0,0,,RPPNMLPJJHHGFFF77EA,0,0,0,無
雙溪區,房地(土地+建物),新北市雙溪區新店３５號二樓,41.68,住,,,1101220,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830702,86.69,3,1,2,有,無,2350000,27108,,0,0,,RPPNMLRJJHHGFFF97EA,76.43,0,7.93,無
雙溪區,土地,三叉港段土地公嶺小段39地號,4093,,山坡地保育區,農牧用地,1101227,土地2建物0車位0,,,其他,,,,0,6,2,4,有,無,2500000,611,,0,0,,RPPNMLKLJHHGFFF37DA,0,0,0,無
雙溪區,土地,三叉港段三叉港小段634-5地號,385,,山坡地保育區,丁種建築用地,1101221,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,5000000,12987,,0,0,現況留下深水井一口，馬達一個，電表一個。,RPTNMLKLJHHGFFF77DA,0,0,0,無
雙溪區,土地,三叉坑段大埤小段66-2地號,381.67,,山坡地保育區,農牧用地,1101227,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,496800,1302,,0,0,,RPWNMLOLJHHGFFF48DA,0,0,0,無
雙溪區,建物,新北市雙溪區中山路５８號,0,,,,1101230,土地0建物1車位0,全,一層,透天厝,住家用,加強磚造,550115,238.03,3,2,1,有,無,1500000,6302,,0,0,買賣時產權為持分共有，沒有土地所有權，屬於佔用房屋，房屋老舊破碎需整修,RPUNMLNJLHHGFFF18DA,238.03,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLTJKIGGFFF68EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-7地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTJKIGGFFF88EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-8地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTJKIGGFFF98EA,0,0,0,無
雙溪區,土地,魚行段乾溪子小段78地號,70.86,,山坡地保育區,林業用地,1101118,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,21967,310,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTJKIGGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-3地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLTJKIGGFFF78EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-4地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLTJKIGGFFF98EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-5地號,3009,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556665,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLTJKIGGFFF09EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-6地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLTJKIGGFFF56EA,0,0,0,無
雙溪區,土地,大平段後寮子小段30-1地號,413.67,都市：其他:保安保護區,,,1101116,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,162000,392,,0,0,地清或未辦繼承標售；,RPPNMLQKKIGGFFF08EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-22地號,6014,都市：其他:保安保護區,,,1101129,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1112590,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPOOMLRKKIGGFFF18EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-23地號,6014,都市：其他:保安保護區,,,1101129,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1112590,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPPOMLRKKIGGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段200地號,4267,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,789395,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPROMLRKKIGGFFF48EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段200-1地號,3201,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,592185,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPSOMLRKKIGGFFF58EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-25地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保用地親友、員工、共有人或其他特殊關係間之交易；,RPTOMLRKKIGGFFF68EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-26地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPUOMLRKKIGGFFF78EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-27地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPVOMLRKKIGGFFF88EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-30地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPWOMLRKKIGGFFF98EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-31地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPOPMLRKKIGGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-2地號,3009,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556665,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPQPMLRKKIGGFFF48EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-9地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPSPMLRKKIGGFFF68EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-10地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPTPMLRKKIGGFFF78EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-11地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPVPMLRKKIGGFFF98EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-12地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPXPMLRKKIGGFFF56EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-18地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRKKIGGFFF58EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-19地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPUNMLRKKIGGFFF68EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-20地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPVNMLRKKIGGFFF78EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-21地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPWNMLRKKIGGFFF88EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-24地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPXNMLRKKIGGFFF98EA,0,0,0,無
雙溪區,土地,平林段麻竹坑小段73地號,38.75,,山坡地保育區,農牧用地,1101116,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,50000,1290,,0,0,地清或未辦繼承標售；,RPQNMLMLKIGGFFF87EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-13地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPOQMLRKKIGGFFF38EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-14地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPPQMLRKKIGGFFF48EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-15地號,3007,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556295,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPQQMLRKKIGGFFF58EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-16地號,3008,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,556480,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPRQMLRKKIGGFFF68EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-17地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPSQMLRKKIGGFFF78EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段192-32地號,4010,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,741850,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPPPMLRKKIGGFFF38EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段188地號,4057,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,750545,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKIGGFFF18EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段188-2地號,4057,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,750545,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKKIGGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段189地號,3045,都市：其他:保安保護區,,,1101129,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,563325,185,,0,0,農保土地親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKKIGGFFF48EA,0,0,0,無
雙溪區,土地,柑腳段柑腳小段98-4地號,664.75,,山坡地保育區,農牧用地,1101115,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2500000,3761,,0,0,交易價格含地上未辦保存登記建物。未登記建物；,RPRNMLPJJHHGFFF97EA,0,0,0,無
雙溪區,土地,泰和段99地號,160.23,住,,,1101113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1952000,12182,,0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLPJJHHGFFF87EA,0,0,0,無
雙溪區,房地(土地+建物),新北市雙溪區十三層五號,3633,,山坡地保育區,農牧用地,1101129,土地1建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,990720,234.67,4,2,6,有,無,20600000,87783,,0,0,,RPSNMLQJJHHGFFF18EA,199.4,0,35.27,無
雙溪區,土地,大平段後寮子小段351地號,18586.83,都市：其他:保安保護區,,,1101109,土地16建物0車位0,,,其他,,,,0,0,0,0,有,無,5272622,284,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMLKHHGFFF87EA,0,0,0,無
雙溪區,土地,魚行段八股小段104-1地號,864.51,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2161287,2500,,0,0,"其他 地上物建築物及農作物:292949元；包含公共設施保留地用地；協議價購；",RPQNMLTKJHHGFFF38EA,0,0,0,無
雙溪區,土地,魚行段內厝小段87-1地號,2622.96,,一般農業區,交通用地,1101025,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,5853302,2232,,0,0,"其他 地上建築物及農作物補:569168元；包含公共設施保留地用地；協議價購；",RPRNMLTKJHHGFFF48EA,0,0,0,無
雙溪區,土地,魚行段內厝小段109-4地號,518.3,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1140271,2200,,0,0,包含公共設施保留地用地；協議價購；,RPXNMLOKKHHGFFF68EA,0,0,0,無
雙溪區,土地,魚行段公館小段42-1地號,11.49,,河川區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,19535,1700,,0,0,"其他 地上物建築物及農作物:3304元；包含公共設施保留地用地；協議價購；",RPRNMLOKKHHGFFF08EA,0,0,0,無
雙溪區,土地,魚行段八股小段22-5地號,78.62,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,180838,2300,,0,0,包含公共設施保留地用地；協議價購；,RPSNMLOKKHHGFFF18EA,0,0,0,無
雙溪區,土地,魚行段公館小段26地號,13.91,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,30612,2201,,0,0,"其他 地上物建築物及農作物:3983元；包含公共設施保留地用地；協議價購；",RPUNMLOKKHHGFFF38EA,0,0,0,無
雙溪區,土地,魚行段內厝小段28-1地號,12.33,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,27133,2201,,0,0,包含公共設施保留地用地；協議價購；,RPVNMLOKKHHGFFF48EA,0,0,0,無
雙溪區,土地,魚行段八股小段24-5地號,79.5,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,190800,2400,,0,0,"其他 地上物建築物及農作物:22739元；包含公共設施保留地用地；協議價購；",RPOOMLOKKHHGFFF87EA,0,0,0,無
雙溪區,土地,魚行段公館小段46-1地號,55.5,,一般農業區,交通用地,1101025,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,127650,2300,,0,0,包含公共設施保留地用地；協議價購；,RPTNMLOKKHHGFFF28EA,0,0,0,無
雙溪區,土地,魚行段八股小段32-6地號,776.67,,一般農業區,交通用地,1101025,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1803750,2322,,0,0,包含公共設施保留地用地；協議價購；,RPQNMLOKKHHGFFF97EA,0,0,0,無
雙溪區,土地,武丹坑段武丹坑小段422-6地號,127,,鄉村區,乙種建築用地,1100917,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3000000,23622,,0,0,未登記建物；,RPPNMLLLKIGGFFF57DA,0,0,0,無
雙溪區,土地,雙平段1271地號,44.55,住,,,1110506,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1035000,23232,,0,0,地清或未辦繼承標售；,RPRNMLMKNHHGFFF18EA,0,0,0,無
雙溪區,土地,三叉坑段三叉坑小段53地號,446,,山坡地保育區,丙種建築用地,1110516,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1150000,2578,,0,0,,RPQNMLSKNHHGFFF68EA,0,0,0,無
雙溪區,土地,平林段麻竹坑小段71地號,71.5,,山坡地保育區,農牧用地,1110503,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,27450,384,,0,0,地清或未辦繼承標售；,RPPNMLKLNHHGFFF87EA,0,0,0,無
雙溪區,土地,石?段645地號,1013.82,,山坡地保育區,林業用地,1110520,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,130000,128,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRLNHHGFFF78EA,0,0,0,無
雙溪區,土地,石?段527地號,1060,,山坡地保育區,農牧用地,1110527,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,413400,390,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRLNHHGFFF88EA,0,0,0,無
雙溪區,土地,三叉港段三叉港小段875-6地號,2500,,山坡地保育區,農牧用地,1110524,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3025000,1210,,0,0,,RPSNMLKMNHHGFFF28EA,0,0,0,無
雙溪區,土地,三叉港段三叉港小段789地號,2672,,山坡地保育區,農牧用地,1110524,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2100000,786,,0,0,,RPUNMLKMNHHGFFF48EA,0,0,0,無
雙溪區,土地,三叉港段三叉港小段816地號,1003,,山坡地保育區,農牧用地,1110416,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,200000,199,,0,0,本買賣為零星持份買賣,RPWNMLLLMHHGFFF48DA,0,0,0,無
雙溪區,土地,柑腳段外柑腳小段304地號,433.33,,山坡地保育區,丙種建築用地,1110426,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2151000,4964,,0,0,地清或未辦繼承標售；,RPRNMLQLMHHGFFF58EA,0,0,0,無
雙溪區,土地,料角坑段保成坑小段62-4地號,726.17,都市：其他:保安保護區,,,1110419,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,200000,275,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNJNHHGFFF18EA,0,0,0,無
